day,hour,item,quantity,revenue
Tuesday,7,Coffee,2,9.0
Tuesday,7,Coffee,1,4.5
Tuesday,7,Banana Bread,2,11.0
Tuesday,7,Coffee,2,9.0
Tuesday,7,Iced Latte,1,5.0
Tuesday,8,Coffee,2,9.0
Tuesday,8,Tea,2,7.0
Tuesday,8,Muffin,1,5.0
Tuesday,8,Hot Chocolate,1,4.0
Tuesday,8,Coffee,1,4.5
Tuesday,9,Coffee,1,4.5
Tuesday,9,Toastie,1,6.5
Tuesday,9,Muffin,1,5.0
Tuesday,9,Muffin,1,5.0
Tuesday,9,Muffin,1,5.0
Tuesday,10,Hot Chocolate,1,4.0
Tuesday,10,Croissant,1,4.8
Tuesday,10,Coffee,2,9.0
Tuesday,11,Coffee,2,9.0
Tuesday,11,Croissant,1,4.8
Tuesday,11,Tea,2,7.0
Tuesday,11,Coffee,2,9.0
Tuesday,11,Coffee,2,9.0
Tuesday,11,Coffee,1,4.5
Tuesday,12,Croissant,1,4.8
Tuesday,12,Banana Bread,1,5.5
Tuesday,12,Coffee,2,9.0
Tuesday,12,Muffin,1,5.0
Tuesday,12,Coffee,1,4.5
Tuesday,12,Iced Latte,1,5.0
Tuesday,12,Toastie,1,6.5
Tuesday,13,Coffee,1,4.5
Tuesday,13,Toastie,1,6.5
Tuesday,13,Hot Chocolate,2,8.0
Tuesday,13,Hot Chocolate,1,4.0
Tuesday,13,Croissant,1,4.8
Tuesday,13,Hot Chocolate,1,4.0
Tuesday,13,Coffee,2,9.0
Tuesday,14,Hot Chocolate,1,4.0
Tuesday,14,Muffin,1,5.0
Tuesday,14,Coffee,1,4.5
Tuesday,14,Coffee,1,4.5
Tuesday,15,Coffee,1,4.5
Tuesday,15,Iced Latte,1,5.0
Tuesday,15,Tea,1,3.5
Tuesday,15,Muffin,1,5.0
Tuesday,15,Hot Chocolate,1,4.0
Tuesday,15,Hot Chocolate,1,4.0
Tuesday,15,Croissant,1,4.8
Wednesday,7,Coffee,1,4.5
Wednesday,7,Banana Bread,1,5.5
Wednesday,7,Coffee,1,4.5
Wednesday,7,Banana Bread,1,5.5
Wednesday,7,Banana Bread,1,5.5
Wednesday,8,Muffin,1,5.0
Wednesday,8,Coffee,2,9.0
Wednesday,8,Iced Latte,1,5.0
Wednesday,8,Coffee,1,4.5
Wednesday,8,Hot Chocolate,1,4.0
Wednesday,8,Coffee,2,9.0
Wednesday,8,Toastie,2,13.0
Wednesday,8,Toastie,1,6.5
Wednesday,8,Coffee,1,4.5
Wednesday,8,Toastie,1,6.5
Wednesday,8,Toastie,1,6.5
Wednesday,8,Muffin,1,5.0
Wednesday,9,Tea,1,3.5
Wednesday,9,Croissant,1,4.8
Wednesday,9,Hot Chocolate,1,4.0
Wednesday,9,Tea,2,7.0
Wednesday,9,Croissant,1,4.8
Wednesday,9,Croissant,1,4.8
Wednesday,9,Iced Latte,1,5.0
Wednesday,9,Iced Latte,1,5.0
Wednesday,9,Coffee,1,4.5
Wednesday,10,Iced Latte,1,5.0
Wednesday,10,Coffee,1,4.5
Wednesday,10,Muffin,1,5.0
Wednesday,10,Iced Latte,1,5.0
Wednesday,10,Coffee,2,9.0
Wednesday,10,Tea,1,3.5
Wednesday,11,Coffee,1,4.5
Wednesday,11,Muffin,1,5.0
Wednesday,11,Iced Latte,1,5.0
Wednesday,11,Tea,2,7.0
Wednesday,12,Croissant,1,4.8
Wednesday,12,Croissant,1,4.8
Wednesday,12,Iced Latte,1,5.0
Wednesday,12,Coffee,1,4.5
Wednesday,12,Coffee,2,9.0
Wednesday,12,Tea,1,3.5
Wednesday,12,Muffin,1,5.0
Wednesday,12,Muffin,1,5.0
Wednesday,12,Coffee,2,9.0
Wednesday,12,Coffee,1,4.5
Wednesday,12,Tea,1,3.5
Wednesday,12,Croissant,1,4.8
Wednesday,12,Hot Chocolate,1,4.0
Wednesday,12,Banana Bread,1,5.5
Wednesday,13,Tea,2,7.0
Wednesday,13,Tea,1,3.5
Wednesday,13,Toastie,1,6.5
Wednesday,13,Muffin,2,10.0
Wednesday,13,Hot Chocolate,1,4.0
Wednesday,13,Hot Chocolate,1,4.0
Wednesday,13,Muffin,1,5.0
Wednesday,13,Tea,1,3.5
Wednesday,13,Muffin,1,5.0
Wednesday,14,Muffin,1,5.0
Wednesday,14,Muffin,1,5.0
Wednesday,14,Hot Chocolate,1,4.0
Wednesday,14,Muffin,1,5.0
Wednesday,14,Coffee,1,4.5
Wednesday,14,Hot Chocolate,1,4.0
Wednesday,15,Coffee,1,4.5
Wednesday,15,Coffee,2,9.0
Wednesday,15,Hot Chocolate,1,4.0
Wednesday,15,Muffin,1,5.0
Thursday,7,Banana Bread,2,11.0
Thursday,7,Muffin,1,5.0
Thursday,7,Hot Chocolate,1,4.0
Thursday,7,Iced Latte,1,5.0
Thursday,7,Banana Bread,1,5.5
Thursday,7,Coffee,2,9.0
Thursday,7,Coffee,1,4.5
Thursday,7,Croissant,1,4.8
Thursday,7,Muffin,2,10.0
Thursday,7,Hot Chocolate,1,4.0
Thursday,8,Hot Chocolate,2,8.0
Thursday,8,Iced Latte,2,10.0
Thursday,8,Croissant,2,9.6
Thursday,8,Muffin,1,5.0
Thursday,8,Iced Latte,1,5.0
Thursday,8,Banana Bread,2,11.0
Thursday,8,Hot Chocolate,1,4.0
Thursday,8,Muffin,1,5.0
Thursday,8,Coffee,1,4.5
Thursday,8,Tea,1,3.5
Thursday,9,Coffee,2,9.0
Thursday,9,Banana Bread,1,5.5
Thursday,9,Coffee,2,9.0
Thursday,9,Tea,2,7.0
Thursday,9,Muffin,1,5.0
Thursday,9,Iced Latte,2,10.0
Thursday,9,Croissant,1,4.8
Thursday,10,Tea,1,3.5
Thursday,10,Croissant,1,4.8
Thursday,10,Banana Bread,2,11.0
Thursday,10,Toastie,1,6.5
Thursday,10,Muffin,1,5.0
Thursday,10,Muffin,1,5.0
Thursday,10,Muffin,2,10.0
Thursday,11,Coffee,2,9.0
Thursday,11,Croissant,1,4.8
Thursday,11,Croissant,1,4.8
Thursday,11,Coffee,2,9.0
Thursday,11,Coffee,2,9.0
Thursday,11,Coffee,1,4.5
Thursday,11,Tea,1,3.5
Thursday,11,Muffin,1,5.0
Thursday,12,Coffee,2,9.0
Thursday,12,Coffee,1,4.5
Thursday,12,Muffin,1,5.0
Thursday,12,Croissant,1,4.8
Thursday,12,Coffee,1,4.5
Thursday,12,Iced Latte,1,5.0
Thursday,12,Banana Bread,1,5.5
Thursday,12,Coffee,1,4.5
Thursday,12,Hot Chocolate,1,4.0
Thursday,12,Coffee,1,4.5
Thursday,13,Croissant,2,9.6
Thursday,13,Banana Bread,1,5.5
Thursday,13,Coffee,1,4.5
Thursday,13,Banana Bread,1,5.5
Thursday,13,Croissant,1,4.8
Thursday,13,Toastie,1,6.5
Thursday,13,Toastie,2,13.0
Thursday,13,Muffin,1,5.0
Thursday,13,Coffee,1,4.5
Thursday,14,Banana Bread,1,5.5
Thursday,14,Iced Latte,1,5.0
Thursday,14,Iced Latte,1,5.0
Thursday,15,Toastie,1,6.5
Thursday,15,Coffee,1,4.5
Thursday,15,Coffee,2,9.0
Thursday,15,Iced Latte,1,5.0
Thursday,15,Muffin,1,5.0
Friday,7,Iced Latte,2,10.0
Friday,7,Banana Bread,2,11.0
Friday,7,Coffee,1,4.5
Friday,7,Hot Chocolate,2,8.0
Friday,7,Muffin,1,5.0
Friday,7,Tea,1,3.5
Friday,7,Iced Latte,1,5.0
Friday,7,Coffee,2,9.0
Friday,7,Coffee,2,9.0
Friday,7,Toastie,2,13.0
Friday,8,Coffee,1,4.5
Friday,8,Coffee,1,4.5
Friday,8,Tea,1,3.5
Friday,8,Tea,1,3.5
Friday,8,Toastie,1,6.5
Friday,8,Coffee,2,9.0
Friday,8,Muffin,1,5.0
Friday,8,Banana Bread,2,11.0
Friday,8,Muffin,1,5.0
Friday,9,Tea,2,7.0
Friday,9,Banana Bread,1,5.5
Friday,9,Hot Chocolate,1,4.0
Friday,9,Muffin,1,5.0
Friday,9,Muffin,1,5.0
Friday,10,Banana Bread,1,5.5
Friday,10,Tea,1,3.5
Friday,10,Coffee,1,4.5
Friday,10,Tea,1,3.5
Friday,10,Coffee,2,9.0
Friday,11,Banana Bread,1,5.5
Friday,11,Croissant,1,4.8
Friday,11,Tea,1,3.5
Friday,11,Coffee,1,4.5
Friday,11,Banana Bread,1,5.5
Friday,12,Coffee,1,4.5
Friday,12,Toastie,1,6.5
Friday,12,Hot Chocolate,2,8.0
Friday,12,Coffee,1,4.5
Friday,12,Toastie,2,13.0
Friday,12,Muffin,1,5.0
Friday,12,Coffee,1,4.5
Friday,12,Coffee,2,9.0
Friday,12,Coffee,1,4.5
Friday,13,Muffin,1,5.0
Friday,13,Coffee,1,4.5
Friday,13,Coffee,1,4.5
Friday,13,Coffee,2,9.0
Friday,13,Hot Chocolate,1,4.0
Friday,13,Banana Bread,2,11.0
Friday,13,Muffin,2,10.0
Friday,14,Iced Latte,2,10.0
Friday,14,Tea,1,3.5
Friday,14,Hot Chocolate,1,4.0
Friday,14,Croissant,1,4.8
Friday,14,Hot Chocolate,1,4.0
Friday,15,Coffee,1,4.5
Friday,15,Coffee,1,4.5
Friday,15,Coffee,2,9.0
Friday,15,Muffin,2,10.0
Friday,15,Tea,1,3.5
Friday,15,Tea,1,3.5
Friday,15,Banana Bread,2,11.0
Friday,15,Coffee,1,4.5
Saturday,7,Iced Latte,1,5.0
Saturday,7,Muffin,1,5.0
Saturday,7,Hot Chocolate,1,4.0
Saturday,7,Iced Latte,1,5.0
Saturday,7,Coffee,1,4.5
Saturday,7,Toastie,1,6.5
Saturday,7,Muffin,2,10.0
Saturday,7,Banana Bread,2,11.0
Saturday,7,Croissant,2,9.6
Saturday,7,Muffin,1,5.0
Saturday,8,Banana Bread,1,5.5
Saturday,8,Coffee,1,4.5
Saturday,8,Croissant,1,4.8
Saturday,8,Croissant,1,4.8
Saturday,8,Toastie,1,6.5
Saturday,8,Muffin,2,10.0
Saturday,8,Croissant,1,4.8
Saturday,8,Croissant,2,9.6
Saturday,8,Hot Chocolate,2,8.0
Saturday,8,Croissant,2,9.6
Saturday,8,Tea,1,3.5
Saturday,8,Tea,1,3.5
Saturday,8,Iced Latte,1,5.0
Saturday,8,Muffin,2,10.0
Saturday,8,Tea,2,7.0
Saturday,8,Iced Latte,1,5.0
Saturday,8,Muffin,1,5.0
Saturday,9,Tea,2,7.0
Saturday,9,Iced Latte,1,5.0
Saturday,9,Hot Chocolate,2,8.0
Saturday,9,Muffin,1,5.0
Saturday,9,Muffin,2,10.0
Saturday,9,Hot Chocolate,1,4.0
Saturday,9,Coffee,1,4.5
Saturday,9,Croissant,2,9.6
Saturday,9,Iced Latte,2,10.0
Saturday,9,Coffee,1,4.5
Saturday,9,Banana Bread,1,5.5
Saturday,9,Toastie,2,13.0
Saturday,9,Coffee,1,4.5
Saturday,9,Muffin,1,5.0
Saturday,10,Iced Latte,2,10.0
Saturday,10,Croissant,1,4.8
Saturday,10,Muffin,1,5.0
Saturday,10,Muffin,2,10.0
Saturday,10,Croissant,1,4.8
Saturday,10,Muffin,1,5.0
Saturday,10,Muffin,1,5.0
Saturday,10,Iced Latte,1,5.0
Saturday,10,Banana Bread,2,11.0
Saturday,10,Tea,1,3.5
Saturday,10,Iced Latte,1,5.0
Saturday,10,Banana Bread,2,11.0
Saturday,11,Muffin,2,10.0
Saturday,11,Tea,2,7.0
Saturday,11,Muffin,1,5.0
Saturday,11,Iced Latte,1,5.0
Saturday,11,Toastie,1,6.5
Saturday,11,Iced Latte,2,10.0
Saturday,12,Tea,2,7.0
Saturday,12,Banana Bread,2,11.0
Saturday,12,Muffin,1,5.0
Saturday,12,Muffin,1,5.0
Saturday,12,Coffee,1,4.5
Saturday,12,Iced Latte,2,10.0
Saturday,12,Coffee,2,9.0
Saturday,12,Coffee,1,4.5
Saturday,13,Iced Latte,1,5.0
Saturday,13,Coffee,1,4.5
Saturday,13,Tea,2,7.0
Saturday,13,Hot Chocolate,1,4.0
Saturday,13,Iced Latte,2,10.0
Saturday,13,Croissant,2,9.6
Saturday,13,Iced Latte,1,5.0
Saturday,13,Hot Chocolate,1,4.0
Saturday,13,Hot Chocolate,1,4.0
Saturday,13,Croissant,1,4.8
Saturday,13,Muffin,1,5.0
Saturday,13,Banana Bread,1,5.5
Saturday,14,Coffee,1,4.5
Saturday,14,Croissant,1,4.8
Saturday,14,Tea,1,3.5
Saturday,14,Tea,1,3.5
Saturday,14,Muffin,1,5.0
Saturday,14,Toastie,1,6.5
Saturday,14,Coffee,1,4.5
Saturday,14,Hot Chocolate,2,8.0
Saturday,14,Hot Chocolate,1,4.0
Saturday,15,Croissant,1,4.8
Saturday,15,Coffee,1,4.5
Saturday,15,Muffin,1,5.0
Saturday,15,Croissant,2,9.6
Saturday,15,Croissant,1,4.8
Saturday,15,Coffee,1,4.5
Saturday,15,Croissant,1,4.8
Saturday,15,Hot Chocolate,2,8.0
Saturday,15,Banana Bread,2,11.0
Sunday,7,Coffee,2,9.0
Sunday,7,Iced Latte,1,5.0
Sunday,7,Coffee,1,4.5
Sunday,7,Toastie,1,6.5
Sunday,7,Coffee,2,9.0
Sunday,7,Coffee,1,4.5
Sunday,7,Croissant,2,9.6
Sunday,7,Iced Latte,1,5.0
Sunday,7,Banana Bread,1,5.5
Sunday,7,Hot Chocolate,1,4.0
Sunday,8,Hot Chocolate,1,4.0
Sunday,8,Hot Chocolate,1,4.0
Sunday,8,Hot Chocolate,1,4.0
Sunday,8,Tea,2,7.0
Sunday,8,Coffee,1,4.5
Sunday,8,Banana Bread,1,5.5
Sunday,8,Croissant,1,4.8
Sunday,8,Banana Bread,1,5.5
Sunday,8,Coffee,1,4.5
Sunday,8,Toastie,1,6.5
Sunday,8,Iced Latte,1,5.0
Sunday,9,Croissant,1,4.8
Sunday,9,Banana Bread,1,5.5
Sunday,9,Iced Latte,2,10.0
Sunday,9,Croissant,1,4.8
Sunday,9,Banana Bread,1,5.5
Sunday,9,Iced Latte,2,10.0
Sunday,9,Croissant,1,4.8
Sunday,9,Coffee,2,9.0
Sunday,9,Coffee,1,4.5
Sunday,9,Muffin,1,5.0
Sunday,9,Toastie,1,6.5
Sunday,9,Coffee,1,4.5
Sunday,9,Muffin,1,5.0
Sunday,9,Croissant,1,4.8
Sunday,9,Hot Chocolate,2,8.0
Sunday,9,Croissant,1,4.8
Sunday,9,Hot Chocolate,1,4.0
Sunday,10,Coffee,1,4.5
Sunday,10,Tea,2,7.0
Sunday,10,Coffee,1,4.5
Sunday,10,Iced Latte,1,5.0
Sunday,10,Muffin,1,5.0
Sunday,10,Hot Chocolate,2,8.0
Sunday,11,Banana Bread,1,5.5
Sunday,11,Iced Latte,1,5.0
Sunday,11,Iced Latte,2,10.0
Sunday,11,Croissant,1,4.8
Sunday,11,Coffee,1,4.5
Sunday,11,Coffee,2,9.0
Sunday,11,Croissant,1,4.8
Sunday,11,Coffee,1,4.5
Sunday,11,Toastie,1,6.5
Sunday,11,Coffee,1,4.5
Sunday,11,Coffee,1,4.5
Sunday,12,Coffee,1,4.5
Sunday,12,Hot Chocolate,1,4.0
Sunday,12,Coffee,1,4.5
Sunday,12,Coffee,1,4.5
Sunday,12,Iced Latte,1,5.0
Sunday,12,Coffee,1,4.5
Sunday,12,Toastie,1,6.5
Sunday,12,Tea,1,3.5
Sunday,12,Iced Latte,1,5.0
Sunday,12,Coffee,1,4.5
Sunday,12,Croissant,1,4.8
Sunday,12,Iced Latte,1,5.0
Sunday,12,Hot Chocolate,1,4.0
Sunday,12,Coffee,1,4.5
Sunday,12,Iced Latte,1,5.0
Sunday,12,Toastie,1,6.5
Sunday,12,Coffee,1,4.5
Sunday,13,Banana Bread,1,5.5
Sunday,13,Banana Bread,2,11.0
Sunday,13,Muffin,1,5.0
Sunday,13,Muffin,1,5.0
Sunday,13,Muffin,1,5.0
Sunday,13,Croissant,1,4.8
Sunday,13,Banana Bread,1,5.5
Sunday,13,Muffin,1,5.0
Sunday,14,Croissant,2,9.6
Sunday,14,Muffin,1,5.0
Sunday,14,Muffin,2,10.0
Sunday,14,Coffee,1,4.5
Sunday,15,Hot Chocolate,1,4.0
Sunday,15,Coffee,1,4.5
Sunday,15,Tea,1,3.5
Sunday,15,Muffin,2,10.0
Sunday,15,Coffee,1,4.5
Sunday,15,Iced Latte,1,5.0
Sunday,15,Muffin,1,5.0
Sunday,15,Muffin,2,10.0
