round,player,score,game_type
48,Sam,68,Retro Fighter
48,Mia,73,Retro Fighter
48,Leo,62,Retro Fighter
48,Ava,83,Retro Fighter
48,Noah,76,Retro Fighter
49,Priya,77,Table Tennis
49,Sam,73,Table Tennis
49,Mia,82,Table Tennis
49,Leo,90,Table Tennis
49,Ava,102,Table Tennis
49,Noah,79,Table Tennis
50,Priya,93,Board Game Blitz
50,Sam,67,Board Game Blitz
50,Mia,76,Board Game Blitz
50,Leo,60,Board Game Blitz
50,Ava,90,Board Game Blitz
50,Noah,95,Board Game Blitz
